EOL Page ID,Ancestry,Scientific Name,Common Name,Measurement,Value,Measurement URI,Value URI,Raw Value (direct from source),Raw Units (direct from source),Raw Units URI (direct from source),Statistical Method,Life Stage,Sex,Supplier,Content Partner Resource URL,Source,Measurement Remarks,Scientific Name,Contributor,Source,Measurement Method
328626,Carnivora | Caniformia | Otariidae | Arctocephalus,Arctocephalus townsendi,,habitat,bay,http://rs.tdwg.org/dwc/terms/habitat,http://purl.obolibrary.org/obo/ENVO_00000032,,,,,,,Environments,"",,true,true,true,true,true
328599,Carnivora | Caniformia | Procyonidae | Bassariscus,Bassariscus astutus,,habitat,bay,http://rs.tdwg.org/dwc/terms/habitat,http://purl.obolibrary.org/obo/ENVO_00000032,,,,,,,Environments,"",,true,true,true,true,true
1243302,Carnivora | Caniformia | Canidae | Canis | Canis lupus,Canis lupus rufus,,habitat,bay,http://rs.tdwg.org/dwc/terms/habitat,http://purl.obolibrary.org/obo/ENVO_00000032,,,,,,,Environments,"",,true,true,true,true,true
328632,Carnivora | Caniformia | Phocidae | Cystophora,Cystophora cristata,,habitat,bay,http://rs.tdwg.org/dwc/terms/habitat,http://purl.obolibrary.org/obo/ENVO_00000032,,,,,,,Environments,"",,true,true,true,true,true
328583,Carnivora | Caniformia | Mustelidae | Lutrinae | Enhydra,Enhydra lutris,,habitat,bay,http://rs.tdwg.org/dwc/terms/habitat,http://purl.obolibrary.org/obo/ENVO_00000032,,,,,,,Environments,"",,true,true,true,true,true
328631,Carnivora | Caniformia | Phocidae | Erignathus,Erignathus barbatus,,habitat,bay,http://rs.tdwg.org/dwc/terms/habitat,http://purl.obolibrary.org/obo/ENVO_00000032,,,,,,,Environments,"",,true,true,true,true,true
328617,Carnivora | Caniformia | Otariidae | Eumetopias,Eumetopias jubatus,,habitat,bay,http://rs.tdwg.org/dwc/terms/habitat,http://purl.obolibrary.org/obo/ENVO_00000032,,,,,,,Environments,"",,true,false,true,false,false
328617,Carnivora | Caniformia | Otariidae | Eumetopias,Eumetopias jubatus,,habitat,bay,http://rs.tdwg.org/dwc/terms/habitat,http://purl.obolibrary.org/obo/ENVO_00000032,,,,,,,Environments,"",,true,true,true,true,true
328617,Carnivora | Caniformia | Otariidae | Eumetopias,Eumetopias jubatus,,habitat,bay,http://rs.tdwg.org/dwc/terms/habitat,http://purl.obolibrary.org/obo/ENVO_00000032,,,,,,,Environments,"",,true,true,true,true,true
328617,Carnivora | Caniformia | Otariidae | Eumetopias,Eumetopias jubatus,,habitat,bay,http://rs.tdwg.org/dwc/terms/habitat,http://purl.obolibrary.org/obo/ENVO_00000032,,,,,,,Environments,"",,false,true,false,true,true
328630,Carnivora | Caniformia | Phocidae | Halichoerus,Halichoerus grypus,,habitat,bay,http://rs.tdwg.org/dwc/terms/habitat,http://purl.obolibrary.org/obo/ENVO_00000032,,,,,,,Environments,"",,true,false,false,false,false
328630,Carnivora | Caniformia | Phocidae | Halichoerus,Halichoerus grypus,,habitat,bay,http://rs.tdwg.org/dwc/terms/habitat,http://purl.obolibrary.org/obo/ENVO_00000032,,,,,,,Environments,"",,true,true,true,false,false
328630,Carnivora | Caniformia | Phocidae | Halichoerus,Halichoerus grypus,,habitat,bay,http://rs.tdwg.org/dwc/terms/habitat,http://purl.obolibrary.org/obo/ENVO_00000032,,,,,,,Environments,"",,false,false,false,true,false
328630,Carnivora | Caniformia | Phocidae | Halichoerus,Halichoerus grypus,,habitat,bay,http://rs.tdwg.org/dwc/terms/habitat,http://purl.obolibrary.org/obo/ENVO_00000032,,,,,,,Environments,"",,true,true,true,true,true
313991,Carnivora | Feliformia | Felidae | Felinae | Leopardus,Leopardus pardalis,,habitat,bay,http://rs.tdwg.org/dwc/terms/habitat,http://purl.obolibrary.org/obo/ENVO_00000032,,,,,,,Environments,"",,true,true,true,true,true
328584,Carnivora | Caniformia | Mustelidae | Lutrinae | Lontra,Lontra canadensis,,habitat,bay,http://rs.tdwg.org/dwc/terms/habitat,http://purl.obolibrary.org/obo/ENVO_00000032,,,,,,,Environments,"",,true,true,true,true,true
328640,Carnivora | Caniformia | Phocidae | Mirounga,Mirounga angustirostris,,habitat,bay,http://rs.tdwg.org/dwc/terms/habitat,http://purl.obolibrary.org/obo/ENVO_00000032,,,,,,,Environments,"",,true,true,true,true,true
328634,Carnivora | Caniformia | Phocidae | Monachus,Monachus tropicalis,,habitat,bay,http://rs.tdwg.org/dwc/terms/habitat,http://purl.obolibrary.org/obo/ENVO_00000032,,,,,,,Environments,"",,true,true,true,true,true
328601,Carnivora | Caniformia | Procyonidae | Nasua,Nasua nasua,,habitat,bay,http://rs.tdwg.org/dwc/terms/habitat,http://purl.obolibrary.org/obo/ENVO_00000032,,,,,,,Environments,"",,true,true,true,true,true
328616,Carnivora | Caniformia | Otariidae | Neophoca,Neophoca cinerea,,habitat,bay,http://rs.tdwg.org/dwc/terms/habitat,http://purl.obolibrary.org/obo/ENVO_00000032,,,,,,,Environments,"",,true,true,true,true,true
922786,Carnivora | Caniformia | Mustelidae | Mustelinae | Neovison,Neovison vison,,habitat,bay,http://rs.tdwg.org/dwc/terms/habitat,http://purl.obolibrary.org/obo/ENVO_00000032,,,,,,,Environments,"",,true,true,true,true,true
328627,Carnivora | Caniformia | Odobenidae | Odobenus,Odobenus rosmarus,,habitat,bay,http://rs.tdwg.org/dwc/terms/habitat,http://purl.obolibrary.org/obo/ENVO_00000032,,,,,,,Environments,"",,true,true,true,true,true
1052720,Carnivora | Caniformia | Phocidae | Pagophilus,Pagophilus groenlandicus,,habitat,bay,http://rs.tdwg.org/dwc/terms/habitat,http://purl.obolibrary.org/obo/ENVO_00000032,,,,,,,Environments,"",,true,true,true,true,true
328628,Carnivora | Caniformia | Phocidae | Phoca,Phoca largha,,habitat,bay,http://rs.tdwg.org/dwc/terms/habitat,http://purl.obolibrary.org/obo/ENVO_00000032,,,,,,,Environments,"",,true,true,true,true,true
328629,Carnivora | Caniformia | Phocidae | Phoca,Phoca vitulina,,habitat,bay,http://rs.tdwg.org/dwc/terms/habitat,http://purl.obolibrary.org/obo/ENVO_00000032,,,,,,,Environments,"",,true,true,true,true,true
328629,Carnivora | Caniformia | Phocidae | Phoca,Phoca vitulina,,habitat,bay,http://rs.tdwg.org/dwc/terms/habitat,http://purl.obolibrary.org/obo/ENVO_00000032,,,,,,,Environments,"",,true,true,true,true,true
328598,Carnivora | Caniformia | Procyonidae | Procyon,Procyon lotor,raccoon,habitat,bay,http://rs.tdwg.org/dwc/terms/habitat,http://purl.obolibrary.org/obo/ENVO_00000032,,,,,,,Environments,"",,true,true,true,true,true
1243815,Carnivora | Feliformia | Felidae | Felinae | Puma | Puma yagouaroundi,Puma yagouaroundi cacomitli,,habitat,bay,http://rs.tdwg.org/dwc/terms/habitat,http://purl.obolibrary.org/obo/ENVO_00000032,,,,,,,Environments,"",,true,true,true,true,true
1052722,Carnivora | Caniformia | Phocidae | Pusa,Pusa sibirica,,habitat,bay,http://rs.tdwg.org/dwc/terms/habitat,http://purl.obolibrary.org/obo/ENVO_00000032,,,,,,,Environments,"",,true,true,true,true,true
328611,Carnivora | Caniformia | Canidae | Urocyon,Urocyon cinereoargenteus,,habitat,bay,http://rs.tdwg.org/dwc/terms/habitat,http://purl.obolibrary.org/obo/ENVO_00000032,,,,,,,Environments,"",,true,true,true,true,true
328582,Carnivora | Caniformia | Ursidae | Ursus,Ursus americanus,,habitat,bay,http://rs.tdwg.org/dwc/terms/habitat,http://purl.obolibrary.org/obo/ENVO_00000032,,,,,,,Environments,"",,true,true,true,true,true
328582,Carnivora | Caniformia | Ursidae | Ursus,Ursus americanus,,habitat,bay,http://rs.tdwg.org/dwc/terms/habitat,http://purl.obolibrary.org/obo/ENVO_00000032,,,,,,,Environments,"",,true,true,true,true,true
328615,Carnivora | Caniformia | Otariidae | Zalophus,Zalophus californianus,,habitat,bay,http://rs.tdwg.org/dwc/terms/habitat,http://purl.obolibrary.org/obo/ENVO_00000032,,,,,,,Environments,"",,true,true,true,true,true
